effect,component,term,estimate,std.error,statistic,p.value,conf.low,conf.high,scenario,p_fn,p_misid,term_clean,is_baseline,new_term
fixed,cond,protected_restrictedprotected,-0.2121538256151937,0.06500531515950839,-3.263638136275719,0.001099915505105884,-0.3395619021315057,-0.08474574909888169,"FalseNeg.=0.10
Misidentif.=0.20",0.1,0.2,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.04520293963962245,0.032041424782587306,1.4107655931763583,0.15831374283786068,-0.017597098947597783,0.10800297822684268,"FalseNeg.=0.10
Misidentif.=0.20",0.1,0.2,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.04734898304695405,0.031247853557779436,-1.5152715356721227,0.12970365361880215,-0.10859365061438353,0.013895684520475425,"FalseNeg.=0.10
Misidentif.=0.20",0.1,0.2,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),-8.90300571561555e-4,0.026664096404623548,-0.03338948967373134,0.9733639910162201,-0.05315096920492764,0.05137036806180453,"FalseNeg.=0.10
Misidentif.=0.20",0.1,0.2,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),0.010177378828639713,0.02863710004211881,0.3553913913654333,0.7222963971919589,-0.04595030587558361,0.06630506353286303,"FalseNeg.=0.10
Misidentif.=0.20",0.1,0.2,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.06935809565126333,0.060913430595423756,1.1386338771810038,0.2548558924191338,-0.05003003449054742,0.1887462257930741,"FalseNeg.=0.10
Misidentif.=0.20",0.1,0.2,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.14879766031281697,0.0314662660303255,4.728799412342531,2.2585137654077175e-6,0.08712491216542287,0.21047040846021106,"FalseNeg.=0.10
Misidentif.=0.20",0.1,0.2,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),0.0026547843841116248,0.030861924696577805,0.08602134864278269,0.9314494463648693,-0.05783347651476809,0.06314304528299133,"FalseNeg.=0.15
Misidentif.=0.20",0.15,0.2,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.03102582617722674,0.03031285756611167,-1.0235203365291479,0.30606188955024904,-0.09043793527529809,0.0283862829208446,"FalseNeg.=0.15
Misidentif.=0.20",0.15,0.2,delta np,FALSE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.2011053991958885,0.06644115250909526,-3.02681984886338,0.0024714120121483024,-0.3313276652050482,-0.07088313318672879,"FalseNeg.=0.15
Misidentif.=0.20",0.15,0.2,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.07258266191729172,0.034124770776837544,2.1269787390501027,0.03342184976151994,0.005699340214005227,0.13946598362057822,"FalseNeg.=0.15
Misidentif.=0.20",0.15,0.2,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.03675939905576218,0.03276370454978926,-1.1219549059203875,0.2618816136674969,-0.10097507997346022,0.027456281861935862,"FalseNeg.=0.15
Misidentif.=0.20",0.15,0.2,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),-0.01670709298215482,0.02859694464582297,-0.5842265035329622,0.5590679323979604,-0.07275607455585337,0.03934188859154372,"FalseNeg.=0.15
Misidentif.=0.20",0.15,0.2,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),0.017131402881260076,0.029111692276894086,0.5884715570058855,0.5562158198107103,-0.039926465510465164,0.07418927127298532,"FalseNeg.=0.15
Misidentif.=0.20",0.15,0.2,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.055050178670552875,0.06325971549623866,0.8702248854379703,0.38417751884308204,-0.0689365853743252,0.17903694271543097,"FalseNeg.=0.15
Misidentif.=0.20",0.15,0.2,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.12582163547314462,0.0321569953797743,3.912729842673122,9.125861011722955e-5,0.06279508267776608,0.18884818826852318,"FalseNeg.=0.15
Misidentif.=0.20",0.15,0.2,timespan,FALSE,Timespan
fixed,cond,scale(delta_CA),0.006918776058456324,0.030549305333739413,0.22647899789770523,0.8208288921459714,-0.05295676214839029,0.06679431426530294,"FalseNeg.=0.20
Misidentif.=0.20",0.2,0.2,delta ca,FALSE,ΔCore Area
fixed,cond,scale(delta_NP),-0.07111630149942584,0.030603754025335033,-2.3237770582181803,0.02013744594234031,-0.1310985571808052,-0.011134045818046487,"FalseNeg.=0.20
Misidentif.=0.20",0.2,0.2,delta np,FALSE,ΔNo. Patches
fixed,cond,protected_restrictedprotected,-0.17953919513289698,0.06562159203692478,-2.7359774360834104,0.006219529052487527,-0.3081551521334499,-0.05092323813234406,"FalseNeg.=0.20
Misidentif.=0.20",0.2,0.2,protected restrictedprotected,FALSE,Protected site
fixed,cond,scale(gs_temp_change_decade),0.019471061869822864,0.03306188398252553,0.5889277779848863,0.5559097227364962,-0.045329039996968856,0.08427116373661458,"FalseNeg.=0.20
Misidentif.=0.20",0.2,0.2,gs temp change decade,FALSE,Warming
fixed,cond,scale(elevation),-0.04471338944349937,0.031871159446729205,-1.4029420397533765,0.160634123306968,-0.10717971410462211,0.017752935217623375,"FalseNeg.=0.20
Misidentif.=0.20",0.2,0.2,elevation,FALSE,Elevation
fixed,cond,scale(log_area_ratio),-0.02383851959606419,0.026145313724597986,-0.9117702639626954,0.3618896669730562,-0.075082392860777,0.027405353668648626,"FalseNeg.=0.20
Misidentif.=0.20",0.2,0.2,log area ratio,FALSE,ΔPlot size
fixed,cond,scale(dist_meters),-0.011992428607314903,0.028000122243933695,-0.428299151797921,0.6684333363889431,-0.06687165976814377,0.04288680255351397,"FalseNeg.=0.20
Misidentif.=0.20",0.2,0.2,dist meters,FALSE,Relocation distance
fixed,cond,countryCZSK,0.06305931692363323,0.06265522948284508,1.0064493809076032,0.3141994497061174,-0.059742676305835254,0.1858613101531017,"FalseNeg.=0.20
Misidentif.=0.20",0.2,0.2,country: czsk,FALSE,Country (CZE-SVK)
fixed,cond,scale(timespan),0.11765978595215477,0.032236008729178756,3.6499489419002984,2.6229244044158047e-4,0.05447836983764563,0.18084120206666393,"FalseNeg.=0.20
Misidentif.=0.20",0.2,0.2,timespan,FALSE,Timespan
